id,username,club,message,timestamp,deleted,created_date
1,조성우,전체,asdf,2025-06-22 11:24:05,True,2025-06-22 11:24:05
2,조성우,전체,aaa,2025-06-22 11:24:11,True,2025-06-22 11:24:11
